Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonRDS,Not Applicable,USW2-C3DataTransfer-In-Bytes,,08/06/16 21:00:00,08/06/16 22:00:00,458779
AmazonRDS,Not Applicable,USW2-USE1-AWS-In-Bytes,,08/06/16 21:00:00,08/06/16 22:00:00,304
AmazonRDS,Not Applicable,USW2-RDS:StorageIOUsage,,08/06/16 21:00:00,08/06/16 22:00:00,2025
AmazonRDS,Not Applicable,USW2-C3DataTransfer-Out-Bytes,,08/06/16 21:00:00,08/06/16 22:00:00,5271886
AmazonRDS,CreateDBInstance,USW2-RDS:StorageUsage,,08/06/16 21:00:00,08/06/16 22:00:00,107374182400
AmazonRDS,Not Applicable,USW2-C3DataTransfer-Out-Bytes,,08/06/16 22:00:00,08/06/16 23:00:00,5266988
AmazonRDS,Not Applicable,USW2-DataTransfer-Out-Bytes,,08/06/16 22:00:00,08/06/16 23:00:00,760
AmazonRDS,Not Applicable,USW2-USE1-AWS-In-Bytes,,08/06/16 22:00:00,08/06/16 23:00:00,228
AmazonRDS,Not Applicable,USW2-DataTransfer-In-Bytes,,08/06/16 22:00:00,08/06/16 23:00:00,760
AmazonRDS,CreateDBInstance:0002,USW2-InstanceUsage:db.t2.micro,,08/06/16 22:00:00,08/06/16 23:00:00,1
AmazonRDS,Not Applicable,USW2-RDS:StorageIOUsage,,08/06/16 22:00:00,08/06/16 23:00:00,2054
AmazonRDS,CreateDBInstance,USW2-RDS:StorageUsage,,08/06/16 22:00:00,08/06/16 23:00:00,107374182400
AmazonRDS,Not Applicable,USW2-C3DataTransfer-In-Bytes,,08/06/16 22:00:00,08/06/16 23:00:00,450373
AmazonRDS,Not Applicable,USW2-USE1-AWS-Out-Bytes,,08/06/16 22:00:00,08/06/16 23:00:00,228
AmazonRDS,Not Applicable,USW2-RDS:ChargedBackupUsage,,08/06/16 23:00:00,08/07/16 00:00:00,77998325760
AmazonRDS,CreateDBInstance,USW2-RDS:StorageUsage,,08/06/16 23:00:00,08/07/16 00:00:00,107374182400
AmazonRDS,Not Applicable,USW2-C3DataTransfer-In-Bytes,,08/06/16 23:00:00,08/07/16 00:00:00,455041
AmazonRDS,Not Applicable,USW2-C3DataTransfer-Out-Bytes,,08/06/16 23:00:00,08/07/16 00:00:00,5264118
AmazonRDS,Not Applicable,USW2-USE1-AWS-In-Bytes,,08/06/16 23:00:00,08/07/16 00:00:00,304
AmazonRDS,Not Applicable,USW2-USE1-AWS-Out-Bytes,,08/06/16 23:00:00,08/07/16 00:00:00,304
AmazonRDS,Not Applicable,USW2-DataTransfer-Out-Bytes,,08/06/16 23:00:00,08/07/16 00:00:00,684
AmazonRDS,Not Applicable,USW2-DataTransfer-In-Bytes,,08/06/16 23:00:00,08/07/16 00:00:00,684
AmazonRDS,CreateDBInstance:0002,USW2-InstanceUsage:db.t2.micro,,08/06/16 23:00:00,08/07/16 00:00:00,1
AmazonRDS,Not Applicable,USW2-RDS:StorageIOUsage,,08/06/16 23:00:00,08/07/16 00:00:00,2075
AmazonRDS,CreateDBInstance:0002,USW2-InstanceUsage:db.t2.micro,,08/07/16 00:00:00,08/07/16 01:00:00,1
AmazonRDS,Not Applicable,USW2-DataTransfer-In-Bytes,,08/07/16 00:00:00,08/07/16 01:00:00,836
AmazonRDS,Not Applicable,USW2-RDS:TotalBackupUsage,,08/07/16 00:00:00,08/07/16 01:00:00,2654978703360
AmazonRDS,Not Applicable,USW2-RDS:StorageIOUsage,,08/07/16 00:00:00,08/07/16 01:00:00,1989
AmazonRDS,Not Applicable,USW2-DataTransfer-Out-Bytes,,08/07/16 00:00:00,08/07/16 01:00:00,836
AmazonRDS,Not Applicable,USW2-USE1-AWS-In-Bytes,,08/07/16 00:00:00,08/07/16 01:00:00,228
AmazonRDS,Not Applicable,USW2-C3DataTransfer-In-Bytes,,08/07/16 00:00:00,08/07/16 01:00:00,443046
AmazonRDS,Not Applicable,USW2-C3DataTransfer-Out-Bytes,,08/07/16 00:00:00,08/07/16 01:00:00,5198631
AmazonRDS,CreateDBInstance,USW2-RDS:StorageUsage,,08/07/16 00:00:00,08/07/16 01:00:00,107374182400
AmazonRDS,Not Applicable,USW2-USE1-AWS-Out-Bytes,,08/07/16 00:00:00,08/07/16 01:00:00,228
AmazonRDS,CreateDBInstance,USW2-RDS:StorageUsage,,08/07/16 01:00:00,08/07/16 02:00:00,107374182400
AmazonRDS,Not Applicable,USW2-USE1-AWS-In-Bytes,,08/07/16 01:00:00,08/07/16 02:00:00,228
