sep=;
Time;Usage;Limit;Request
2016-12-08T15:50:40.000Z;null;null;null
2016-12-08T15:50:50.000Z;null;null;null
2016-12-08T15:51:00.000Z;99;248;668
2016-12-08T15:51:10.000Z;null;null;null
2016-12-08T15:51:20.000Z;null;null;null
2016-12-08T15:51:30.000Z;null;null;null
2016-12-08T15:51:40.000Z;null;null;null
2016-12-08T15:51:50.000Z;null;null;null
2016-12-08T15:52:00.000Z;105;248;668
2016-12-08T15:52:10.000Z;null;null;null
2016-12-08T15:52:20.000Z;null;null;null
2016-12-08T15:52:30.000Z;null;null;null
2016-12-08T15:52:40.000Z;null;null;null
2016-12-08T15:52:50.000Z;null;null;null
2016-12-08T15:53:00.000Z;89;248;668
2016-12-08T15:53:10.000Z;null;null;null
2016-12-08T15:53:20.000Z;null;null;null
2016-12-08T15:53:30.000Z;null;null;null
2016-12-08T15:53:40.000Z;null;null;null
2016-12-08T15:53:50.000Z;null;null;null
2016-12-08T15:54:00.000Z;86;248;668
2016-12-08T15:54:10.000Z;null;null;null
2016-12-08T15:54:20.000Z;null;null;null
2016-12-08T15:54:30.000Z;null;null;null
2016-12-08T15:54:40.000Z;null;null;null
2016-12-08T15:54:50.000Z;null;null;null
2016-12-08T15:55:00.000Z;82;248;668
2016-12-08T15:55:10.000Z;null;null;null
2016-12-08T15:55:20.000Z;null;null;null
2016-12-08T15:55:30.000Z;null;null;null
2016-12-08T15:55:40.000Z;null;null;null
2016-12-08T15:55:50.000Z;null;null;null
2016-12-08T15:56:00.000Z;82;248;668
2016-12-08T15:56:10.000Z;null;null;null
2016-12-08T15:56:20.000Z;null;null;null
2016-12-08T15:56:30.000Z;null;null;null
2016-12-08T15:56:40.000Z;null;null;null
2016-12-08T15:56:50.000Z;null;null;null
2016-12-08T15:57:00.000Z;88;248;668
2016-12-08T15:57:10.000Z;null;null;null
2016-12-08T15:57:20.000Z;null;null;null
2016-12-08T15:57:30.000Z;null;null;null
2016-12-08T15:57:40.000Z;null;null;null
2016-12-08T15:57:50.000Z;null;null;null
2016-12-08T15:58:00.000Z;89;248;668
2016-12-08T15:58:10.000Z;null;null;null
2016-12-08T15:58:20.000Z;null;null;null
2016-12-08T15:58:30.000Z;null;null;null
2016-12-08T15:58:40.000Z;null;null;null
2016-12-08T15:58:50.000Z;null;null;null
2016-12-08T15:59:00.000Z;123;248;668
2016-12-08T15:59:10.000Z;null;null;null
2016-12-08T15:59:20.000Z;null;null;null
2016-12-08T15:59:30.000Z;null;null;null
2016-12-08T15:59:40.000Z;null;null;null
2016-12-08T15:59:50.000Z;null;null;null
2016-12-08T16:00:00.000Z;91;248;668
2016-12-08T16:00:10.000Z;null;null;null
2016-12-08T16:00:20.000Z;null;null;null
2016-12-08T16:00:30.000Z;null;null;null
2016-12-08T16:00:40.000Z;null;null;null
2016-12-08T16:00:50.000Z;null;null;null
2016-12-08T16:01:00.000Z;94;248;668
2016-12-08T16:01:10.000Z;null;null;null
2016-12-08T16:01:20.000Z;null;null;null
2016-12-08T16:01:30.000Z;null;null;null
2016-12-08T16:01:40.000Z;null;null;null
2016-12-08T16:01:50.000Z;null;null;null
2016-12-08T16:02:00.000Z;96;248;668
2016-12-08T16:02:10.000Z;null;null;null
2016-12-08T16:02:20.000Z;null;null;null
2016-12-08T16:02:30.000Z;null;null;null
2016-12-08T16:02:40.000Z;null;null;null
2016-12-08T16:02:50.000Z;null;null;null
2016-12-08T16:03:00.000Z;93;248;668
2016-12-08T16:03:10.000Z;null;null;null
2016-12-08T16:03:20.000Z;null;null;null
2016-12-08T16:03:30.000Z;null;null;null
2016-12-08T16:03:40.000Z;null;null;null
2016-12-08T16:03:50.000Z;null;null;null
2016-12-08T16:04:00.000Z;87;248;668
2016-12-08T16:04:10.000Z;null;null;null
2016-12-08T16:04:20.000Z;null;null;null
2016-12-08T16:04:30.000Z;null;null;null
2016-12-08T16:04:40.000Z;null;null;null
2016-12-08T16:04:50.000Z;null;null;null
2016-12-08T16:05:00.000Z;804;248;668
2016-12-08T16:05:10.000Z;null;null;null
2016-12-08T16:05:20.000Z;null;null;null
