sep=;
Time;Tx;Rx
2016-12-08T15:45:50.000Z;null;null
2016-12-08T15:46:00.000Z;41965.58935546875;26872.41650390625
2016-12-08T15:46:10.000Z;null;null
2016-12-08T15:46:20.000Z;null;null
2016-12-08T15:46:30.000Z;null;null
2016-12-08T15:46:40.000Z;null;null
2016-12-08T15:46:50.000Z;null;null
2016-12-08T15:47:00.000Z;40967.63916015625;17441.388671875
2016-12-08T15:47:10.000Z;null;null
2016-12-08T15:47:20.000Z;null;null
2016-12-08T15:47:30.000Z;null;null
2016-12-08T15:47:40.000Z;null;null
2016-12-08T15:47:50.000Z;null;null
2016-12-08T15:48:00.000Z;49464.6083984375;17780.58349609375
2016-12-08T15:48:10.000Z;null;null
2016-12-08T15:48:20.000Z;null;null
2016-12-08T15:48:30.000Z;null;null
2016-12-08T15:48:40.000Z;null;null
2016-12-08T15:48:50.000Z;null;null
2016-12-08T15:49:00.000Z;61330.060546875;47857.5732421875
2016-12-08T15:49:10.000Z;null;null
2016-12-08T15:49:20.000Z;null;null
2016-12-08T15:49:30.000Z;null;null
2016-12-08T15:49:40.000Z;null;null
2016-12-08T15:49:50.000Z;null;null
2016-12-08T15:50:00.000Z;59539.068359375;29986.3369140625
2016-12-08T15:50:10.000Z;null;null
2016-12-08T15:50:20.000Z;null;null
2016-12-08T15:50:30.000Z;null;null
2016-12-08T15:50:40.000Z;null;null
2016-12-08T15:50:50.000Z;null;null
2016-12-08T15:51:00.000Z;31312.05615234375;20201.58935546875
2016-12-08T15:51:10.000Z;null;null
2016-12-08T15:51:20.000Z;null;null
2016-12-08T15:51:30.000Z;null;null
2016-12-08T15:51:40.000Z;null;null
2016-12-08T15:51:50.000Z;null;null
2016-12-08T15:52:00.000Z;36038.12109375;24332.90185546875
2016-12-08T15:52:10.000Z;null;null
2016-12-08T15:52:20.000Z;null;null
2016-12-08T15:52:30.000Z;null;null
2016-12-08T15:52:40.000Z;null;null
2016-12-08T15:52:50.000Z;null;null
2016-12-08T15:53:00.000Z;30553.331787109375;11473.08447265625
2016-12-08T15:53:10.000Z;null;null
2016-12-08T15:53:20.000Z;null;null
2016-12-08T15:53:30.000Z;null;null
2016-12-08T15:53:40.000Z;null;null
2016-12-08T15:53:50.000Z;null;null
2016-12-08T15:54:00.000Z;28751.8857421875;10193.12841796875
2016-12-08T15:54:10.000Z;null;null
2016-12-08T15:54:20.000Z;null;null
2016-12-08T15:54:30.000Z;null;null
2016-12-08T15:54:40.000Z;null;null
2016-12-08T15:54:50.000Z;null;null
